layer,target,formula,involved,score,loss,complexity
1,y,x0*sin(x1) + x2*x3,"x0, x1, x2, x3",13.880728537606085,1.089529e-11,8
2,x0,x4 + x5,"x4, x5",34.2645407042531,5.573825e-13,3
2,x1,7.39*exp(x6),x6,31.77362661445656,2.8870772e-13,4
2,x2,x7*x8*exp(x9),"x7, x8, x9",31.56511926105179,1.7520946e-13,6
3,x5,tan(x10 + x11),"x10, x11",21.77063958777359,1.5119784e-07,4
3,x7,8.0 - 5.0*x12,x12,28.565741412842577,6.8212105e-14,5
4,x12,sin(1.13*(x2*exp(-1.0*x9)/x8**1.0)**0.5),"x2, x8, x9",3.567656759242527,0.0036034998,10
