layer,target,formula,involved,score,loss,complexity
1,y,-1.0*x0*tanh(sin(x1)) + x2*x3,"x0, x1, x2, x3",1.1283290389775666,0.0124152405,9
2,x0,(x8 - 1.0*asin(x8))**2.0,x8,0.004815680393470872,0.30572405,5
2,x2,cos(x3 + x6),"x3, x6",15.509438528243818,1.1825693e-15,4
2,x3,"x6*cos(atanh(Mod(1.0*x2 + 1.0, 2.0) - 1.0))","x2, x6",0.1844547213710891,0.2595248,5
3,x8,x6/x9**1.0,"x6, x9",16.89842954534254,7.269205500000001e-16,3
4,x9,sin(x6/(x4 - 1.0*x7)**1.0),"x4, x6, x7",1.0019182590789708,0.09522262,6
