layer,target,formula,involved,score,loss,complexity
1,y,-1.0*x0*cos(x1 - 1.71) + x2*x3,"x0, x1, x2, x3",13.429742364726573,7.145105e-15,10
2,x1,2.0*exp(x4 + x5),"x4, x5",28.17992714041874,2.8211388e-13,6
2,x2,cos(x3 + x6),"x3, x6",30.63878807883084,1.498972e-15,4
3,x4,sin(x7 + x8),"x7, x8",31.144975883604484,8.642531300000001e-16,4
3,x6,x8*x9,"x8, x9",16.44736769298235,2.5363383000000004e-16,3
4,x7,0.13*x1 - 1.0*x5,"x1, x5",0.2707680192185542,0.051530533,5
4,x9,cos(x3 + asin(x2))/x8**1.0,"x2, x3, x8",4.180706525379417,0.0007478871,7
